timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,target,target_team,target_latency_ms,target_steamid,target_steam_name,target_ip,target_is_bot,source,value,unit,hp_before,hp_after
00:17:17.333,2026-04-07 15:10:56.414,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2330,2322
00:17:17.500,2026-04-07 15:10:56.581,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,2322,2286
00:17:17.600,2026-04-07 15:10:56.681,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,66,damage,90,24
00:17:17.666,2026-04-07 15:10:56.747,hit,goodguys_siege,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,52,damage,2286,2234
00:17:17.933,2026-04-07 15:10:57.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2234,2226
00:17:18.000,2026-04-07 15:10:57.081,kill,creep_badguys_ranged,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:18.000,2026-04-07 15:10:57.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2226,2221
00:17:18.033,2026-04-07 15:10:57.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2221,2216
00:17:18.266,2026-04-07 15:10:57.347,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,2216,2179
00:17:18.333,2026-04-07 15:10:57.414,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,9,damage,2179,2170
00:17:18.600,2026-04-07 15:10:57.681,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,25,damage,,
00:17:18.600,2026-04-07 15:10:57.681,kill,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,,,,,
00:17:18.933,2026-04-07 15:10:58.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2170,2162
00:17:18.966,2026-04-07 15:10:58.047,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,35,damage,2162,2127
00:17:19.000,2026-04-07 15:10:58.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2127,2122
00:17:19.033,2026-04-07 15:10:58.114,kill,badguys_tower2_top,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:19.033,2026-04-07 15:10:58.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2122,2117
00:17:19.700,2026-04-07 15:10:58.781,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,2117,2081
00:17:19.733,2026-04-07 15:10:58.814,kill,badguys_tower1_bot,DIRE,40,,,,,creep_goodguys_ranged,RADIANT,,,,,,,,,,
00:17:19.933,2026-04-07 15:10:59.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,9,damage,2081,2072
00:17:20.033,2026-04-07 15:10:59.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2072,2067
00:17:20.033,2026-04-07 15:10:59.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2067,2062
00:17:20.433,2026-04-07 15:10:59.514,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,35,damage,2062,2027
00:17:20.666,2026-04-07 15:10:59.747,hit,goodguys_siege,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,55,damage,2027,1972
00:17:20.933,2026-04-07 15:11:00.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,1972,1964
00:17:21.033,2026-04-07 15:11:00.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1964,1959
00:17:21.100,2026-04-07 15:11:00.181,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1959,1954
00:17:21.166,2026-04-07 15:11:00.247,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1954,1918
00:17:21.933,2026-04-07 15:11:01.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,1918,1910
00:17:21.933,2026-04-07 15:11:01.014,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,1910,1873
00:17:22.000,2026-04-07 15:11:01.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1873,1868
00:17:22.033,2026-04-07 15:11:01.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1868,1863
00:17:22.600,2026-04-07 15:11:01.681,kill,badguys_tower2_top,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:22.633,2026-04-07 15:11:01.714,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,1863,1826
00:17:22.766,2026-04-07 15:11:01.847,kill,creep_goodguys_ranged,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,,,,,
00:17:23.033,2026-04-07 15:11:02.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1826,1821
