block_type,block_id,declared_type,timestamp_sec,attacker_name,target_name,source_name,value,health,ability_level,gold_reason,xp_reason,modifier_type,modifier_duration,modifier_elapsed,stack_count,slow_duration,attacker_team,target_team,is_attacker_hero,is_target_hero,is_attacker_illusion,is_target_illusion,is_visible_radiant,is_visible_dire,assist_players
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,56,105,1,162,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,61,105,1,36,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,61,105,1,6,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,61,105,1,419,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,56,105,1,95,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3393.4001,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3394.0334,1,61,105,1,566,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3394.0334,1,56,105,1,372,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3402.4336,6,7,141,1,862,,,,,3.0,,6,3.0,3,2,true,true,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3405.1335,1,133,105,1,935,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3405.1335,1,133,105,1,248,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3405.8003,1,133,105,1,867,,,,,,,2,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3405.8003,1,133,105,1,80,,,,,,,2,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3406.3335,2,2,15,7,,,,,,,,,772.0808,,,,,,,,,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3406.3335,10,0,4,6,,,,,,,,,466.67892,,,,,,,,,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,525,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,309,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3453.9336,1,61,105,1,622,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3491.7334,1,61,105,1,601,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3491.7334,1,61,105,1,270,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3491.7334,1,61,105,1,634,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3491.7334,1,61,105,1,634,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3500.7668,15,3,3,8,,,,,,,,,402.926,,,,,,,,,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3500.7668,1,4,7,12,,,,,,,,,511.32962,,,,,,,,,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3500.7668,2,5,8,15,,,,,,,,,625.7157,,,,,,,,,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3500.7668,0,6,9,16,,,,,,,,,452.45166,,,,,,,,,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3500.7668,16,8,258,1,0,,,,,-1.0,,5,,2,3,true,true,false,false,true,true,
DOTA_COMBATLOG_TEAM_BUILDING_KILL,18,DOTA_COMBATLOG_TEAM_BUILDING_KILL,3507.867,,39,,1,,,,,,,,,,2,3,,,,,,,
DOTA_COMBATLOG_TEAM_BUILDING_KILL,18,DOTA_COMBATLOG_TEAM_BUILDING_KILL,3517.8003,,60,,1,,,,,,,,,,3,2,,,,,,,
DOTA_COMBATLOG_TEAM_BUILDING_KILL,18,DOTA_COMBATLOG_TEAM_BUILDING_KILL,3518.6667,,345,,2,,,,,,,,,,2,3,,,,,,,
DOTA_COMBATLOG_TEAM_BUILDING_KILL,18,DOTA_COMBATLOG_TEAM_BUILDING_KILL,3531.7002,,347,,2,,,,,,,,,,2,3,,,,,,,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3536.6335,1,6,105,1,907,,,,,7.0,,1,7.0,2,3,true,true,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3537.367,1,6,105,1,647,,,,,7.0,,2,7.0,2,3,true,true,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3538.0002,1,6,105,1,331,,,,,7.0,,3,7.0,2,3,true,true,false,false,true,true,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3538.0002,11,0,4,6,,,,,,,,,565.17694,,,,,,,,,
DOTA_COMBATLOG_PLAYERSTATS,15,DOTA_COMBATLOG_PLAYERSTATS,3538.0002,12,1,8,1,,,,,,,,,616.822,,,,,,,,,
DOTA_COMBATLOG_TEAM_BUILDING_KILL,18,DOTA_COMBATLOG_TEAM_BUILDING_KILL,3546.5334,,344,,0,,,,,,,,,,2,3,,,,,,,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3549.6335,1,61,105,1,394,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3549.6335,1,61,105,1,146,,,,,,,1,,2,3,true,false,false,false,true,true,
DOTA_COMBATLOG_MODIFIER_STACK_EVENT,20,DOTA_COMBATLOG_MODIFIER_STACK_EVENT,3550.2668,1,56,105,1,384,,,,,,,1,,2,3,true,false,false,false,true,true,
